ID,Gender,Age,Education,Experience_Years,Interview_Score,Technical_Score,Communication_Score,Fair_Score,Biased_Score,Selected_Fair,Selected
54,Female,29,Master,6.9,57.6,57.1,62.0,0.5032,0.4331,0,0
55,Male,28,Bachelor,5.1,60.6,63.7,20.0,0.3721,0.3695,0,0
56,Female,29,PhD,1.4,91.0,75.0,74.2,0.6788,0.6074,1,1
57,Male,35,Bachelor,8.0,52.2,85.0,61.2,0.5056,0.518,0,0
58,Male,25,Master,6.5,82.4,65.9,65.2,0.6005,0.5972,1,1
59,Male,32,Bachelor,5.4,67.8,75.4,62.5,0.4866,0.4916,0,0
60,Male,28,Bachelor,3.0,67.3,57.5,100.0,0.4434,0.4235,0,0
61,Male,28,PhD,6.2,68.8,63.8,72.4,0.6431,0.6404,1,1
62,Male,31,Bachelor,1.7,72.1,52.7,49.9,0.3619,0.3678,0,0
63,Female,25,Bachelor,4.2,84.0,50.9,83.0,0.4658,0.3757,0,0
64,Male,30,Bachelor,3.9,64.9,89.3,71.1,0.512,0.5132,0,0
65,Male,29,Bachelor,1.2,72.4,78.3,52.4,0.4391,0.4365,0,0
66,Male,30,Master,5.1,70.1,100.0,69.8,0.6584,0.6775,1,1
67,Male,30,Bachelor,2.7,72.2,80.8,72.9,0.4923,0.4948,0,0
68,Female,24,Bachelor,5.3,49.6,46.4,69.7,0.3514,0.3164,0,0
69,Male,26,Bachelor,2.1,75.6,75.2,42.9,0.4389,0.4349,0,0
70,Non-Binary,29,Bachelor,1.2,87.1,48.4,68.0,0.4073,0.3883,0,0
71,Female,25,Bachelor,3.2,63.5,82.2,78.1,0.4851,0.4353,0,0
72,Male,26,Bachelor,1.7,61.6,53.6,90.5,0.3853,0.3657,0,0
73,Male,26,Bachelor,2.1,57.3,75.7,50.1,0.397,0.4017,0,0
74,Female,31,Bachelor,1.4,61.8,93.1,54.8,0.4606,0.4231,0,0
75,Female,32,Master,4.7,50.0,60.9,68.3,0.4712,0.4295,0,0
76,Female,25,Master,2.6,72.8,82.5,70.6,0.5785,0.5095,0,0
77,Female,33,Master,7.2,87.5,60.6,67.4,0.6108,0.5423,1,0
78,Male,30,Bachelor,4.7,70.7,70.7,56.7,0.4634,0.4772,0,0
79,Male,26,PhD,5.8,68.7,71.1,68.8,0.6557,0.6386,1,1
80,Male,31,PhD,3.8,58.7,98.1,61.6,0.6752,0.6823,1,1
81,Female,27,Bachelor,2.0,61.9,85.9,79.8,0.4778,0.3909,0,0
82,Female,31,High School,5.5,74.1,79.7,71.1,0.4469,0.4062,0,0
83,Male,35,Bachelor,3.6,69.8,47.2,52.7,0.3674,0.3617,0,0
84,Male,36,Master,2.2,74.6,69.6,83.1,0.5535,0.5522,0,0
85,Male,26,Bachelor,4.9,83.3,74.7,95.5,0.5633,0.555,0,0
86,Male,27,High School,2.2,73.2,50.7,89.7,0.332,0.3314,0,0
87,Female,32,Master,3.1,58.4,60.2,75.7,0.4806,0.4268,0,0
88,Female,32,Master,1.1,66.3,71.7,68.5,0.503,0.454,0,0
89,Female,23,Bachelor,4.5,68.7,20.6,63.5,0.3069,0.2896,0,0
90,Male,37,Bachelor,7.5,89.7,68.6,72.6,0.5694,0.5701,0,1
91,Male,28,Master,3.9,72.8,77.6,58.4,0.5656,0.5407,0,0
92,Female,27,Master,6.4,87.0,40.3,100.0,0.5758,0.5263,0,0
93,Female,26,Bachelor,3.0,61.6,78.5,77.7,0.4648,0.387,0,0
94,Male,26,Master,2.2,69.1,94.8,93.0,0.6289,0.6225,1,1
95,Female,33,PhD,1.0,87.5,73.4,83.7,0.6702,0.5824,1,1
96,Male,36,Bachelor,2.6,78.4,72.1,86.5,0.4986,0.4988,0,0
97,Male,26,High School,3.5,63.1,65.3,72.6,0.345,0.326,0,0
98,Male,29,Master,6.2,85.0,62.5,67.0,0.5955,0.5758,1,1
99,Male,28,Master,1.0,66.5,79.2,70.4,0.5281,0.5277,0,0
100,Male,33,Master,2.7,85.3,67.0,88.1,0.5891,0.5772,0,1
101,Male,39,Master,5.0,73.1,41.7,64.3,0.4766,0.4968,0,0
102,Female,34,Bachelor,1.5,64.7,84.3,47.3,0.4334,0.3732,0,0
103,Male,27,Bachelor,5.1,62.1,80.1,39.1,0.4516,0.4362,0,0
104,Male,33,Bachelor,3.5,72.2,47.1,64.1,0.3869,0.412,0,0
105,Female,27,Bachelor,2.7,84.5,73.8,50.1,0.4773,0.427,0,0
106,Male,36,Bachelor,2.1,66.5,71.7,56.1,0.4184,0.4591,0,0
107,Male,31,PhD,2.0,50.2,67.6,52.9,0.5201,0.4913,0,0
108,Female,29,Master,13.1,100.0,40.8,80.5,0.6814,0.6028,1,1
109,Male,31,Bachelor,1.9,57.3,77.2,58.4,0.4093,0.4166,0,0
110,Male,33,Bachelor,9.9,75.9,53.5,84.5,0.5301,0.5305,0,0
111,Male,32,Bachelor,2.8,66.2,70.6,46.7,0.4119,0.4064,0,0
112,Male,31,Master,6.5,68.4,54.0,76.3,0.537,0.5557,0,0
113,Female,26,Master,0.9,67.3,34.2,66.5,0.3835,0.3445,0,0
114,Female,27,Bachelor,2.1,36.4,58.3,60.6,0.2958,0.2349,0,0
115,Female,27,Master,4.7,57.2,61.1,83.6,0.5117,0.4372,0,0
116,Female,26,Master,2.6,73.9,47.1,69.7,0.4699,0.396,0,0
117,Female,26,Master,0.3,37.4,79.4,67.7,0.4323,0.3786,0,0
118,Male,29,Bachelor,2.4,81.8,69.1,66.0,0.4706,0.4849,0,0
119,Female,30,Master,2.7,77.9,96.1,44.4,0.6042,0.526,1,0
120,Male,25,PhD,1.8,67.6,65.8,82.2,0.5983,0.5945,1,1
121,Female,30,High School,5.9,77.2,29.6,74.9,0.3094,0.2576,0,0
122,Female,26,Master,5.3,81.5,95.1,53.5,0.6582,0.5906,1,1
123,Male,29,Master,4.5,57.6,54.4,100.0,0.5096,0.5281,0,0
124,Male,34,Bachelor,2.0,42.0,46.3,66.9,0.2808,0.2804,0,0
125,Male,29,High School,3.6,57.1,60.2,67.3,0.3065,0.3302,0,0
126,Male,29,Bachelor,7.7,72.3,78.8,64.8,0.5443,0.5361,0,0
127,Female,22,Master,3.0,71.4,57.7,90.4,0.5271,0.4429,0,0
128,Female,23,Bachelor,0.9,66.7,67.7,72.2,0.4103,0.3731,0,0
129,Male,31,Master,5.5,63.5,64.3,67.1,0.53,0.5286,0,0
130,Male,37,Master,0.7,62.6,79.7,68.5,0.512,0.5033,0,0
131,Male,27,Bachelor,3.4,80.8,63.7,62.8,0.4605,0.4616,0,0
132,Male,29,Bachelor,8.1,44.9,50.2,72.4,0.3912,0.3675,0,0
133,Male,29,High School,3.5,50.2,100.0,59.5,0.4,0.3738,0,0
134,Male,35,High School,6.8,76.0,67.7,50.1,0.4063,0.4076,0,0
135,Female,22,Master,1.6,69.9,59.8,61.4,0.4741,0.4237,0,0
136,Male,30,Bachelor,3.4,65.9,72.4,91.7,0.481,0.5019,0,0
137,Male,31,Master,3.2,56.8,68.8,62.2,0.4874,0.5007,0,0
138,Female,25,Master,2.9,59.9,42.0,36.8,0.3767,0.341,0,0
139,Male,27,High School,4.2,58.3,71.3,90.9,0.3823,0.4014,0,0
140,Non-Binary,26,Master,4.0,81.3,72.9,75.5,0.598,0.5635,1,0
141,Non-Binary,22,Bachelor,2.8,61.5,76.8,79.3,0.4585,0.4212,0,0
142,Male,24,High School,4.1,65.8,41.2,56.5,0.2654,0.2791,0,0
143,Male,29,Master,3.3,92.3,74.8,66.1,0.6143,0.6274,1,1
144,Male,26,Bachelor,4.0,62.9,78.4,84.2,0.49,0.4898,0,0
145,Male,33,Master,3.7,66.4,61.8,67.7,0.5068,0.4888,0,0
146,Male,22,Bachelor,2.2,65.6,61.9,67.9,0.4013,0.3745,0,0
147,Female,22,High School,3.3,70.4,85.2,83.2,0.4386,0.3986,0,0
148,Male,30,Bachelor,2.6,73.6,60.8,76.2,0.4366,0.4438,0,0
149,Male,35,Master,2.5,71.1,54.3,55.8,0.4656,0.4749,0,0
150,Male,28,Bachelor,1.3,71.4,70.4,80.6,0.4481,0.4613,0,0
151,Female,23,Bachelor,2.2,86.5,49.9,40.9,0.39,0.3297,0,0
152,Male,36,Bachelor,2.6,69.2,77.5,69.8,0.4682,0.44,0,0
153,Male,23,Master,0.8,65.4,35.4,76.0,0.3923,0.4,0,0
154,Male,22,Bachelor,3.5,46.3,60.7,70.9,0.3636,0.3816,0,0
155,Non-Binary,38,Master,2.4,93.9,43.6,54.9,0.4951,0.4657,0,0
156,Male,26,Bachelor,1.5,76.7,74.6,86.3,0.4863,0.464,0,0
157,Female,29,Bachelor,4.3,78.5,98.7,78.6,0.5952,0.5274,1,0
158,Female,29,High School,1.0,78.4,70.4,76.2,0.3753,0.3134,0,0
159,Male,29,High School,5.7,51.8,83.5,76.9,0.4047,0.3816,0,0
160,Female,28,PhD,1.7,70.9,75.5,60.5,0.6096,0.5363,1,0
161,Male,23,Master,11.9,50.2,82.3,45.6,0.6083,0.6107,1,1
162,Female,26,Bachelor,3.8,66.1,44.0,70.9,0.3723,0.3261,0,0
163,Female,29,Bachelor,1.3,65.0,97.4,82.7,0.5168,0.4613,0,0
164,Male,28,Bachelor,2.8,72.7,77.8,20.0,0.4196,0.4078,0,0
165,Male,36,Bachelor,3.0,76.2,97.8,51.5,0.5343,0.5356,0,0
166,Female,26,Master,5.6,64.2,72.3,69.5,0.5614,0.4867,0,0
167,Male,22,PhD,9.6,69.9,59.4,80.9,0.6894,0.6856,1,1
168,Male,26,Master,5.8,57.4,73.3,78.1,0.5584,0.5625,0,0
169,Male,28,PhD,1.2,74.1,89.2,69.6,0.6662,0.6821,1,1
170,Male,29,Bachelor,5.3,59.7,55.8,67.3,0.4067,0.4111,0,0
171,Female,22,Bachelor,1.6,67.3,90.9,72.1,0.4939,0.444,0,0
172,Male,30,Master,5.9,46.3,66.6,53.0,0.4756,0.4758,0,0
173,Male,23,Bachelor,7.4,55.9,61.2,82.3,0.46,0.4673,0,0
174,Male,34,Master,3.5,54.7,73.4,67.2,0.5061,0.5216,0,0
175,Female,25,Bachelor,0.6,82.8,80.1,75.4,0.4951,0.4639,0,0
176,Male,33,Master,8.8,74.7,79.0,77.4,0.6658,0.684,1,1
177,Female,22,Master,2.6,56.6,71.5,92.3,0.5247,0.4609,0,0
178,Male,30,Bachelor,2.3,61.9,52.2,70.1,0.3645,0.3816,0,0
179,Female,32,Master,4.7,68.4,100.0,81.0,0.6621,0.5909,1,1
180,Male,30,PhD,3.8,68.5,69.3,65.2,0.6178,0.6087,1,1
181,Male,31,High School,4.6,77.5,72.8,72.3,0.4243,0.4328,0,0
182,Male,34,Master,6.8,100.0,69.8,68.7,0.6716,0.6547,1,1
183,Female,30,Bachelor,3.9,68.3,81.1,77.6,0.5043,0.4522,0,0
184,Female,30,Master,6.7,73.1,71.9,82.6,0.617,0.5692,1,1
185,Male,28,PhD,8.0,71.8,96.3,69.6,0.7743,0.7866,1,1
186,Female,28,Bachelor,4.6,65.9,61.7,77.0,0.4456,0.41,0,0
187,Female,27,Master,5.6,78.8,73.7,94.0,0.6383,0.556,1,0
188,Male,36,High School,5.6,58.3,71.8,66.5,0.3725,0.3797,0,0
189,Male,28,Bachelor,3.7,65.0,83.6,56.6,0.4737,0.4841,0,0
190,Male,23,Bachelor,6.8,78.5,35.8,59.3,0.4086,0.404,0,0
191,Male,29,Bachelor,3.9,71.7,69.9,73.3,0.4737,0.4839,0,0
192,Female,22,High School,2.5,72.0,75.3,75.8,0.3922,0.3519,0,0
193,Female,30,Bachelor,6.5,69.6,95.4,75.5,0.5855,0.5256,0,0
194,Female,28,Bachelor,4.2,66.9,73.0,61.5,0.4589,0.3884,0,0
195,Male,27,Bachelor,3.9,48.0,70.3,52.4,0.3808,0.3999,0,0
196,Male,22,PhD,13.2,48.5,65.0,68.1,0.6785,0.6852,1,1
197,Female,32,Master,1.7,81.1,72.1,73.9,0.5617,0.4925,0,0
198,Female,31,Master,2.4,66.7,63.6,47.9,0.4708,0.4129,0,0
199,Female,24,Master,8.0,61.0,50.7,51.0,0.4942,0.4343,0,0
200,Female,29,Bachelor,3.3,67.2,65.9,60.2,0.4237,0.3604,0,0
201,Female,24,Bachelor,2.4,69.4,93.5,68.7,0.5147,0.4707,0,0
202,Male,30,PhD,4.5,52.1,100.0,72.6,0.6854,0.6999,1,1
203,Male,25,Bachelor,2.9,67.7,74.7,76.0,0.467,0.4824,0,0
204,Female,31,PhD,5.0,61.1,61.5,84.3,0.6124,0.5616,1,0
205,Female,31,Bachelor,2.4,71.7,31.1,86.0,0.3479,0.309,0,0
206,Male,24,Bachelor,4.8,76.2,72.0,63.3,0.4929,0.4681,0,0
207,Male,35,Master,6.8,75.9,88.6,67.0,0.6591,0.6685,1,1
208,Female,30,Bachelor,4.1,79.3,42.8,63.2,0.4009,0.3617,0,0
209,Male,28,Master,4.1,78.3,52.2,70.1,0.5194,0.5427,0,0
210,Male,29,Bachelor,5.4,64.2,76.4,75.5,0.4956,0.5119,0,0
211,Male,29,Master,5.3,64.9,94.2,83.4,0.6451,0.6471,1,1
212,Female,31,Bachelor,1.4,81.6,96.6,93.6,0.5769,0.5055,0,0
213,Female,32,High School,0.7,47.4,67.7,65.8,0.2608,0.2446,0,0
214,Male,26,High School,2.2,60.3,58.6,49.6,0.2696,0.2297,0,0
215,Female,29,Bachelor,0.8,80.8,66.0,58.5,0.4269,0.3793,0,0
216,Male,27,Bachelor,3.4,68.4,74.0,76.6,0.4743,0.4885,0,0
217,Male,36,Master,3.1,88.2,42.9,62.7,0.4958,0.494,0,0
218,Female,24,High School,6.1,61.6,67.0,57.6,0.3626,0.3134,0,0
219,Female,27,Bachelor,2.5,57.6,100.0,72.5,0.5072,0.4508,0,0
220,Female,25,Master,1.0,78.0,49.8,77.9,0.4786,0.4414,0,0
221,Female,25,Bachelor,2.8,97.4,66.4,45.2,0.4864,0.4348,0,0
222,Male,32,Master,5.9,58.8,74.9,51.5,0.5356,0.5254,0,0
223,Male,29,Bachelor,5.0,62.1,84.7,54.2,0.4835,0.5017,0,0
224,Male,26,Master,2.0,62.3,61.0,40.4,0.4352,0.4564,0,0
225,Male,31,Bachelor,4.6,59.5,46.4,51.5,0.3475,0.3354,0,0
226,Male,30,Bachelor,7.1,88.8,65.8,80.8,0.5628,0.6048,0,1
227,Non-Binary,28,High School,3.5,69.3,73.8,64.6,0.3793,0.3528,0,0
228,Male,31,Bachelor,5.8,72.8,64.1,53.4,0.4597,0.4739,0,0
229,Female,30,Bachelor,9.9,84.4,62.4,73.3,0.5683,0.511,0,0
230,Female,31,PhD,2.2,54.5,67.1,60.8,0.5435,0.4678,0,0
231,Female,22,Bachelor,3.4,80.8,80.7,49.2,0.4966,0.4302,0,0
232,Male,29,Master,4.7,71.6,70.3,66.9,0.5609,0.5619,0,0
233,Male,37,Bachelor,4.8,66.3,47.5,81.3,0.4104,0.3824,0,0
234,Male,26,Bachelor,15.0,74.5,65.6,56.0,0.5977,0.61,1,1
235,Male,35,Bachelor,3.3,78.7,72.1,69.0,0.4871,0.4587,0,0
236,Female,27,PhD,3.6,64.7,56.8,68.0,0.5686,0.5006,0,0
237,Male,26,Bachelor,3.6,58.6,78.2,61.3,0.4429,0.4329,0,0
238,Male,27,Bachelor,3.7,52.1,57.3,66.4,0.3667,0.3754,0,0
239,Female,30,Master,1.6,69.9,49.8,75.1,0.46,0.3717,0,0
240,Male,30,Bachelor,5.3,94.0,66.8,73.7,0.5475,0.5226,0,0
241,Female,28,High School,7.2,65.0,59.5,72.4,0.3824,0.3275,0,0
242,Non-Binary,29,Bachelor,1.9,75.8,86.5,50.7,0.4818,0.4559,0,0
243,Female,33,Bachelor,2.1,71.7,56.7,85.5,0.4232,0.3757,0,0
244,Male,37,Master,3.4,62.3,58.8,71.4,0.4862,0.5019,0,0
245,Male,35,Master,1.2,79.0,70.5,65.2,0.533,0.5346,0,0
246,Female,28,Master,3.2,74.2,66.2,69.9,0.5388,0.4739,0,0
247,Male,29,Master,3.1,71.0,57.8,71.1,0.5035,0.4875,0,0
248,Non-Binary,32,Bachelor,0.7,54.0,84.3,69.5,0.4196,0.3869,0,0
249,Non-Binary,28,Bachelor,1.7,65.0,77.7,91.5,0.4716,0.4383,0,0
250,Female,26,Bachelor,3.4,61.3,63.1,46.7,0.3825,0.3058,0,0
251,Male,27,Bachelor,3.4,67.3,83.0,66.1,0.4862,0.4728,0,0
252,Male,22,Bachelor,5.7,51.3,73.7,72.9,0.451,0.4579,0,0
253,Female,29,Bachelor,4.9,80.1,78.2,71.0,0.5344,0.473,0,0
254,Male,31,Master,2.3,30.6,88.7,59.0,0.4582,0.4544,0,0
255,Male,27,Master,4.0,68.6,80.7,68.6,0.5773,0.5682,0,1
256,Male,35,Bachelor,3.8,83.6,84.0,73.5,0.5508,0.5246,0,0
257,Female,29,Master,0.3,83.5,37.4,74.9,0.4423,0.3566,0,0
258,Female,25,Master,3.4,91.1,71.4,66.4,0.6019,0.5251,1,0
259,Male,29,Bachelor,1.9,73.2,85.3,75.3,0.5014,0.5237,0,0
260,Male,33,PhD,6.5,59.0,70.9,63.7,0.6304,0.6309,1,1
261,Female,25,Bachelor,3.9,65.5,73.7,58.8,0.4496,0.411,0,0
262,Non-Binary,26,PhD,7.1,63.2,70.1,66.5,0.6516,0.5883,1,1
263,Male,33,Bachelor,5.7,92.1,97.1,51.9,0.6149,0.6192,1,1
264,Male,28,Master,3.0,48.4,62.4,64.8,0.4438,0.4333,0,0
265,Female,24,Bachelor,2.3,63.0,54.8,60.2,0.3634,0.3086,0,0
266,Female,32,Bachelor,1.7,62.1,56.6,83.2,0.387,0.3517,0,0
267,Female,28,Bachelor,1.7,58.0,61.7,52.4,0.3527,0.3085,0,0
268,Female,27,Master,2.3,38.2,34.1,84.9,0.3417,0.2799,0,0
269,Male,34,Bachelor,3.7,100.0,44.1,56.9,0.451,0.4525,0,0
270,Male,34,Bachelor,0.7,73.5,76.0,69.9,0.4501,0.4394,0,0
271,Female,31,Bachelor,1.6,87.6,59.7,81.0,0.4658,0.3882,0,0
272,Female,24,High School,1.9,86.2,69.5,64.0,0.3919,0.3299,0,0
273,Female,25,Master,4.3,80.9,79.3,58.9,0.6002,0.5589,1,0
274,Female,26,Bachelor,1.5,57.9,86.2,90.5,0.4739,0.4352,0,0
275,Male,26,Bachelor,4.4,61.4,87.3,56.5,0.4843,0.4541,0,0
276,Male,26,PhD,6.5,99.2,76.1,59.0,0.7561,0.7533,1,1
277,Female,26,High School,2.0,63.0,77.2,83.3,0.3748,0.3281,0,0
278,Female,31,PhD,8.5,71.0,67.2,79.7,0.7005,0.6124,1,1
279,Female,29,Bachelor,1.1,57.9,70.7,77.2,0.4034,0.345,0,0
280,Female,28,Master,7.4,75.2,79.3,78.2,0.6502,0.5834,1,1
281,Female,31,Bachelor,5.1,77.8,65.8,82.7,0.5064,0.4598,0,0
282,Male,22,Bachelor,2.9,47.0,74.8,54.3,0.3808,0.3965,0,0
283,Male,33,Bachelor,15.0,61.4,70.6,59.6,0.5802,0.5851,0,1
284,Male,22,Master,8.3,67.8,81.0,45.1,0.6051,0.6142,1,1
285,Male,27,Bachelor,2.7,60.2,70.5,62.1,0.4122,0.4071,0,0
286,Male,24,Bachelor,2.0,52.6,62.5,73.4,0.37,0.3464,0,0
287,Male,23,Bachelor,2.6,59.0,71.3,61.3,0.4089,0.3849,0,0
288,Male,33,Master,6.9,80.4,47.7,88.9,0.5729,0.5601,0,0
289,Male,27,Master,7.0,77.0,78.6,67.5,0.6343,0.6313,1,1
290,Male,30,Bachelor,8.4,70.1,82.2,64.7,0.558,0.5387,0,0
291,Male,28,Bachelor,2.3,75.0,60.8,61.4,0.4181,0.4011,0,0
292,Male,30,Bachelor,5.3,54.4,57.5,48.3,0.3731,0.3674,0,0
293,Female,28,Bachelor,1.9,78.9,73.3,65.7,0.4682,0.425,0,0
294,Male,23,Bachelor,9.4,71.7,69.1,70.7,0.5428,0.5478,0,0
295,Male,32,Bachelor,2.3,55.9,73.0,64.5,0.4053,0.3923,0,0
296,Male,27,High School,1.7,69.3,92.6,69.0,0.4191,0.4198,0,0
297,Female,30,Master,3.1,65.4,83.7,76.0,0.5745,0.4857,0,0
298,Male,27,Bachelor,4.0,48.2,81.6,49.8,0.4148,0.4018,0,0
299,Female,27,Bachelor,0.7,71.7,100.0,78.6,0.5308,0.4423,0,0
300,Male,32,Bachelor,5.7,80.3,57.0,68.9,0.477,0.4835,0,0
301,Male,27,Bachelor,2.0,60.4,93.5,63.8,0.4773,0.473,0,0
302,Male,27,Master,3.2,49.8,66.5,68.6,0.4681,0.4658,0,0
303,Male,27,Master,2.9,41.5,73.9,76.1,0.4727,0.4848,0,0
304,Female,22,Bachelor,4.1,80.7,77.0,88.1,0.5429,0.4628,0,0
305,Female,25,Bachelor,5.6,84.6,84.6,74.1,0.5808,0.5181,0,0
306,Non-Binary,23,Bachelor,6.0,50.1,91.7,79.2,0.5158,0.5094,0,0
307,Male,33,PhD,1.6,63.6,76.4,72.5,0.6051,0.5904,1,1
308,Male,29,Bachelor,4.5,45.0,83.8,70.6,0.4453,0.4218,0,0
309,Female,26,High School,2.5,75.9,33.3,68.5,0.263,0.2125,0,0
310,Male,28,Master,8.1,92.0,69.5,76.2,0.6748,0.6806,1,1
311,Male,28,Bachelor,9.6,58.6,71.0,55.0,0.4942,0.5204,0,0
312,Male,28,High School,4.8,96.6,69.1,41.8,0.4322,0.4577,0,0
313,Male,31,Bachelor,5.2,66.6,52.0,62.9,0.4078,0.4205,0,0
314,Non-Binary,23,High School,3.7,56.7,97.3,61.7,0.4157,0.3998,0,0
315,Female,32,Bachelor,5.7,69.2,79.0,81.0,0.529,0.4725,0,0
316,Female,27,Bachelor,2.9,55.8,79.1,91.3,0.4657,0.4207,0,0
317,Male,29,PhD,7.3,90.1,64.3,75.5,0.7246,0.7292,1,1
318,Male,22,Bachelor,0.7,77.4,55.3,80.8,0.4102,0.3982,0,0
319,Male,32,Master,3.0,72.5,63.6,73.9,0.5281,0.5538,0,0
320,Male,30,High School,5.5,44.7,67.8,71.4,0.3257,0.3457,0,0
321,Male,32,Bachelor,4.0,49.9,64.3,64.3,0.3837,0.3721,0,0
322,Female,24,Bachelor,8.4,64.2,63.0,81.5,0.5021,0.4515,0,0
323,Female,24,Master,3.3,62.4,69.1,76.0,0.523,0.4822,0,0
324,Male,28,PhD,1.5,69.5,56.6,73.6,0.5602,0.5665,0,0
325,Non-Binary,23,Master,5.0,77.3,54.4,73.4,0.5397,0.4989,0,0
326,Female,34,Bachelor,3.8,78.6,80.5,90.9,0.5472,0.503,0,0
327,Male,31,Bachelor,2.4,58.6,83.4,46.4,0.4242,0.4281,0,0
328,Female,30,PhD,2.3,76.1,91.0,78.4,0.7035,0.6097,1,1
329,Male,26,Bachelor,4.6,57.7,92.0,56.0,0.4905,0.4732,0,0
330,Male,36,Master,7.9,56.4,62.9,71.0,0.5428,0.4988,0,0
331,Male,28,Master,4.9,67.4,61.6,40.7,0.4916,0.5212,0,0
332,Female,27,Master,4.2,76.9,50.1,88.3,0.5329,0.4564,0,0
