ID,Gender,Age,Race_Ethnicity,Religion,Continent,Education,Experience_Years,Interview_Score,Technical_Score,Communication_Score,Fair_Score,Biased_Score,Selected_Fair,Selected
99,Male,38,Black,Christian,North America,Master,6.9,63.0,73.6,64.0,0.5695,0.439,0,0
100,Male,43,Asian,Unaffiliated,Oceania,Bachelor,1.3,92.6,78.8,61.7,0.5207,0.454,0,0
101,Male,35,White,Christian,Asia,Bachelor,4.2,88.4,70.4,61.7,0.5132,0.4601,0,0
102,Female,32,Asian,Christian,South America,High School,6.0,68.8,74.1,56.2,0.4007,0.2915,0,0
103,Male,36,Black,Unaffiliated,Asia,Bachelor,2.8,83.6,76.3,49.9,0.4903,0.2872,0,0
104,Female,40,White,Christian,Asia,Bachelor,1.6,57.1,88.0,64.5,0.4644,0.3615,0,0
105,Female,21,Black,Muslim,Europe,Master,7.2,55.1,57.5,69.2,0.5157,0.2456,0,0
106,Male,23,Other,Jewish,Asia,Bachelor,8.4,90.0,43.5,66.3,0.4873,0.3385,0,0
107,Male,32,White,Christian,North America,Bachelor,8.2,71.1,64.4,84.7,0.5185,0.5087,0,1
108,Female,39,Black,Muslim,Europe,Master,7.1,70.6,73.5,63.8,0.5894,0.3041,0,0
109,Male,54,Asian,Hindu,North America,Bachelor,6.0,70.4,62.2,62.4,0.4636,0.3219,0,0
110,Male,31,White,Unaffiliated,Asia,Bachelor,2.5,57.8,88.3,58.3,0.4671,0.408,0,0
111,Male,35,Black,Christian,Asia,Bachelor,6.5,53.2,60.3,64.1,0.4227,0.271,0,0
112,Male,26,White,Christian,Asia,Master,3.8,56.2,79.1,65.0,0.5415,0.4852,0,1
113,Female,39,White,Muslim,South America,Master,1.9,81.4,82.7,74.2,0.6079,0.3804,1,0
114,Female,22,Black,Christian,Africa,Bachelor,2.5,82.6,100.0,42.0,0.5393,0.2753,0,0
115,Female,32,White,Christian,Oceania,Master,2.2,91.1,45.7,54.2,0.5095,0.4554,0,0
116,Female,23,Hispanic,Christian,South America,PhD,5.5,50.0,69.7,73.2,0.6095,0.3477,1,0
117,Female,21,White,Muslim,North America,High School,5.1,67.2,57.2,69.4,0.3597,0.2415,0,0
118,Male,59,White,Unaffiliated,South America,Master,1.9,80.8,97.0,85.1,0.6587,0.5085,1,1
119,Female,41,White,Christian,Europe,Master,6.4,63.3,66.3,84.5,0.5717,0.5166,0,1
120,Female,41,White,Christian,North America,Bachelor,5.1,68.7,93.9,56.2,0.5293,0.4709,0,0
121,Female,42,White,Hindu,North America,Bachelor,3.7,71.0,50.4,89.1,0.4463,0.358,0,0
122,Female,47,Asian,Christian,Europe,Bachelor,6.3,62.0,65.8,77.9,0.4747,0.3652,0,0
123,Male,34,Asian,Hindu,Europe,Master,12.0,60.7,58.6,72.7,0.5791,0.4829,0,1
124,Male,41,Asian,Christian,Europe,Master,3.0,77.8,100.0,76.3,0.6581,0.5947,1,1
125,Male,27,White,Christian,North America,Bachelor,4.1,54.3,61.8,73.2,0.4197,0.4199,0,0
126,Male,31,Asian,Christian,Europe,PhD,6.8,67.1,48.2,77.5,0.6103,0.5618,1,1
127,Female,21,Asian,Christian,Asia,Master,8.6,66.9,76.5,67.7,0.6065,0.3936,1,0
128,Female,35,White,Unaffiliated,Europe,Bachelor,3.5,77.9,78.0,75.4,0.5189,0.451,0,0
129,Male,27,White,Unaffiliated,Europe,Bachelor,5.0,82.9,94.9,48.6,0.5566,0.5424,0,1
130,Female,31,White,Muslim,North America,Bachelor,4.1,69.9,83.5,90.7,0.5385,0.383,0,0
131,Male,41,White,Muslim,Asia,Master,4.6,57.0,71.9,50.2,0.5126,0.3573,0,0
132,Male,36,Asian,Christian,North America,Master,2.6,55.2,82.2,70.8,0.5441,0.5066,0,1
133,Male,43,Black,Hindu,Asia,Bachelor,3.0,77.8,49.7,70.5,0.4317,0.253,0,0
134,Male,27,Black,Muslim,Asia,High School,5.0,58.9,77.9,81.3,0.4092,0.2342,0,0
135,Female,36,White,Christian,North America,Bachelor,6.2,54.7,72.9,71.4,0.4669,0.408,0,0
136,Male,26,White,Christian,Europe,High School,1.7,42.2,50.9,62.0,0.2421,0.2319,0,0
137,Female,31,White,Christian,Asia,High School,4.3,72.9,78.4,81.7,0.4393,0.349,0,0
138,Female,29,Other,Christian,Asia,Bachelor,14.1,59.9,63.8,68.8,0.5215,0.3542,0,0
139,Male,22,White,Hindu,Europe,High School,6.5,52.5,62.0,69.3,0.3488,0.3282,0,0
140,Non-Binary,28,Asian,Unaffiliated,Europe,Bachelor,4.6,72.5,72.8,56.2,0.4773,0.3912,0,0
141,Non-Binary,38,White,Jewish,Asia,PhD,1.7,80.7,73.2,55.4,0.6386,0.4531,1,0
142,Male,23,Black,Muslim,Asia,PhD,4.4,70.6,69.2,80.1,0.6577,0.3235,1,0
143,Female,26,Black,Christian,Asia,High School,2.8,55.2,83.3,82.5,0.3968,0.2196,0,0
144,Male,45,Asian,Christian,South America,High School,1.2,51.9,59.9,57.5,0.2802,0.1924,0,0
145,Male,47,White,Muslim,Europe,Bachelor,8.4,55.1,74.6,74.9,0.4962,0.3486,0,0
146,Male,41,White,Christian,South America,PhD,6.5,86.5,81.2,57.8,0.7198,0.653,1,1
147,Female,50,White,Christian,Europe,Master,4.3,86.5,58.4,70.2,0.571,0.45,0,0
148,Female,46,Asian,Muslim,Oceania,Master,3.6,63.4,59.6,72.1,0.5137,0.2961,0,0
149,Male,32,White,Christian,North America,Bachelor,7.7,79.1,52.8,67.6,0.4811,0.4901,0,1
150,Male,52,White,Christian,Europe,Master,2.9,91.5,80.3,62.0,0.6198,0.5643,1,1
151,Female,48,White,Christian,Europe,Bachelor,5.4,68.6,39.6,65.0,0.3961,0.3316,0,0
152,Male,32,White,Christian,Asia,Master,6.4,67.7,73.7,70.6,0.5851,0.5304,0,1
153,Male,35,Asian,Muslim,Asia,Master,5.6,71.7,64.3,65.0,0.5555,0.3358,0,0
154,Male,26,Asian,Christian,Asia,Master,7.0,75.2,62.5,80.6,0.5911,0.4789,0,1
155,Non-Binary,32,White,Christian,North America,Bachelor,5.4,70.2,61.1,77.5,0.4737,0.4473,0,0
156,Male,21,Asian,Christian,North America,Bachelor,2.2,79.1,41.6,77.2,0.4144,0.4011,0,0
157,Female,27,Hispanic,Christian,North America,Master,1.5,61.6,67.9,68.0,0.508,0.3462,0,0
158,Female,40,White,Unaffiliated,Africa,Master,8.0,68.2,64.6,72.1,0.5777,0.4358,0,0
159,Male,22,Asian,Christian,Africa,Bachelor,7.3,87.3,58.8,82.6,0.5326,0.3677,0,0
160,Female,29,Black,Christian,Oceania,Bachelor,5.0,69.8,63.9,74.3,0.4728,0.3088,0,0
161,Male,38,White,Hindu,North America,PhD,3.6,51.8,78.5,58.1,0.6021,0.5626,1,1
162,Female,30,Black,Christian,North America,Master,7.6,52.9,66.6,85.4,0.5586,0.3768,0,0
163,Female,44,White,Muslim,Asia,Bachelor,3.4,82.0,70.5,63.3,0.4927,0.3138,0,0
164,Female,44,White,Christian,North America,Master,1.3,69.3,66.4,69.6,0.5231,0.4688,0,0
165,Male,26,Hispanic,Unaffiliated,Asia,Bachelor,3.1,57.2,70.9,35.7,0.3958,0.2634,0,0
166,Female,28,Hispanic,Unaffiliated,North America,Bachelor,5.2,79.6,75.0,86.1,0.5433,0.4,0,0
167,Male,33,Hispanic,Hindu,Asia,Bachelor,1.1,67.7,65.8,57.6,0.4175,0.2689,0,0
168,Male,26,White,Hindu,Europe,Master,1.6,100.0,77.7,63.3,0.6239,0.5949,1,1
169,Male,49,Other,Christian,North America,Bachelor,5.6,63.2,100.0,84.8,0.5724,0.4416,0,0
170,Female,28,White,Unaffiliated,North America,Bachelor,12.6,81.3,73.9,58.8,0.5756,0.5202,0,1
171,Female,42,White,Christian,Asia,High School,3.5,67.6,45.8,55.0,0.2978,0.2266,0,0
172,Male,21,White,Christian,Asia,High School,5.1,79.1,66.8,82.6,0.4313,0.3663,0,0
173,Female,25,White,Christian,North America,Bachelor,1.9,69.5,61.5,65.3,0.427,0.3881,0,0
174,Male,22,White,Christian,Asia,Master,6.8,47.7,53.7,100.0,0.5222,0.4512,0,0
175,Female,21,Black,Muslim,Europe,PhD,2.7,44.4,63.1,58.6,0.535,0.2781,0,0
176,Male,27,Asian,Christian,Oceania,Master,6.1,77.6,78.0,59.9,0.605,0.5502,1,1
177,Female,36,Other,Hindu,Europe,High School,1.3,59.8,64.6,58.1,0.3139,0.2115,0,0
178,Male,48,Hispanic,Christian,Europe,Bachelor,2.4,64.0,72.8,70.6,0.455,0.3075,0,0
179,Female,30,White,Unaffiliated,North America,Bachelor,7.5,81.4,59.9,77.8,0.5169,0.4815,0,1
180,Male,33,Hispanic,Muslim,Europe,PhD,3.7,88.1,86.1,74.1,0.7326,0.4776,1,1
181,Male,36,Asian,Hindu,Europe,Bachelor,9.6,67.3,61.8,70.1,0.4962,0.4464,0,0
182,Male,25,White,Muslim,Africa,Master,2.8,81.2,74.3,76.3,0.5953,0.3739,0,0
183,Female,32,Hispanic,Unaffiliated,Europe,PhD,2.0,57.2,68.4,49.0,0.5626,0.3819,0,0
184,Female,53,White,Christian,Europe,PhD,1.1,76.8,77.8,67.6,0.6514,0.5122,1,1
185,Male,36,White,Christian,North America,Bachelor,5.0,64.2,83.6,83.5,0.5237,0.538,0,1
186,Female,53,White,Hindu,North America,High School,3.0,59.9,83.3,77.0,0.4032,0.3096,0,0
187,Female,33,Black,Jewish,North America,High School,6.1,66.4,52.5,95.8,0.3868,0.2544,0,0
188,Female,26,Hispanic,Christian,North America,High School,5.7,72.8,86.4,64.2,0.4511,0.3128,0,0
189,Female,43,White,Christian,Asia,High School,4.7,58.2,67.4,68.3,0.3602,0.2845,0,0
190,Male,45,Black,Christian,Asia,PhD,4.1,63.5,67.6,72.8,0.6241,0.3347,1,0
191,Male,28,Asian,Christian,Europe,PhD,2.1,64.9,70.2,68.5,0.6116,0.5567,1,1
192,Female,36,Other,Unaffiliated,South America,High School,5.2,81.4,76.7,63.9,0.4413,0.2868,0,0
193,Female,32,White,Christian,South America,High School,8.6,56.7,63.0,65.3,0.3753,0.3141,0,0
194,Female,21,White,Hindu,Europe,Master,2.7,35.8,50.2,62.7,0.4008,0.2902,0,0
195,Male,21,Black,Buddhist,Asia,Master,5.9,59.7,59.9,72.8,0.5265,0.2998,0,0
196,Male,30,White,Christian,Africa,Master,3.4,63.1,76.0,62.3,0.5432,0.4628,0,0
197,Female,44,White,Christian,Europe,High School,0.3,100.0,58.1,65.7,0.3958,0.3802,0,0
198,Female,41,White,Christian,Asia,Bachelor,6.6,81.9,51.5,72.4,0.4807,0.3737,0,0
199,Female,23,Hispanic,Hindu,Africa,Master,1.2,67.5,72.0,58.9,0.5196,0.2539,0,0
200,Female,21,Hispanic,Christian,North America,Master,6.2,81.6,48.4,69.9,0.5483,0.3637,0,0
201,Female,24,White,Christian,South America,Master,9.3,55.4,75.1,69.9,0.5833,0.4443,0,0
202,Male,23,White,Christian,Asia,Bachelor,5.3,71.4,57.4,81.8,0.4711,0.4191,0,0
203,Male,24,Black,Christian,Africa,Bachelor,1.6,76.2,58.4,77.1,0.4472,0.2579,0,0
204,Female,21,White,Christian,Europe,Master,4.8,74.0,85.0,62.5,0.6069,0.5407,1,1
205,Female,21,White,Christian,Asia,Bachelor,6.3,58.6,85.3,61.7,0.4987,0.3529,0,0
206,Male,21,White,Christian,North America,Bachelor,1.5,56.5,74.2,73.6,0.4362,0.4306,0,0
207,Male,21,White,Hindu,Europe,Master,4.5,71.7,72.0,65.5,0.5672,0.5078,0,1
208,Female,44,White,Christian,Asia,Master,1.4,72.3,70.3,55.7,0.5246,0.4128,0,0
209,Male,65,Black,Hindu,North America,Bachelor,7.0,53.0,50.3,62.8,0.398,0.2172,0,0
210,Male,53,Black,Muslim,Asia,Master,2.6,51.3,45.3,63.4,0.4257,0.2035,0,0
211,Female,35,White,Unaffiliated,Europe,High School,1.8,36.0,72.2,68.2,0.293,0.2364,0,0
212,Female,25,White,Christian,North America,Master,3.4,60.1,100.0,62.1,0.6004,0.5698,1,1
213,Female,28,White,Christian,Europe,PhD,4.7,87.4,56.1,56.2,0.6364,0.5977,1,1
214,Male,34,Black,Unaffiliated,Asia,High School,5.6,64.5,61.3,73.8,0.374,0.2426,0,0
215,Female,53,White,Buddhist,Asia,Master,0.8,59.3,73.3,53.7,0.4929,0.3155,0,0
216,Male,23,White,Christian,North America,Master,4.0,67.5,54.2,61.0,0.4988,0.4707,0,0
217,Male,33,Black,Christian,Asia,Master,3.2,78.0,38.0,58.7,0.471,0.3056,0,0
218,Female,33,Hispanic,Unaffiliated,North America,Bachelor,8.2,76.4,81.7,73.9,0.5647,0.3887,0,0
219,Female,32,White,Christian,Europe,PhD,4.8,72.4,81.6,69.6,0.686,0.6071,1,1
220,Female,21,White,Unaffiliated,Africa,Master,5.1,82.9,48.9,61.3,0.5324,0.3687,0,0
221,Female,30,Asian,Unaffiliated,Asia,Bachelor,6.8,78.0,54.5,85.3,0.4971,0.3185,0,0
222,Female,21,Asian,Christian,Europe,Master,6.3,46.2,66.4,65.3,0.5051,0.3871,0,0
223,Male,55,White,Unaffiliated,North America,Bachelor,5.2,76.9,63.5,52.2,0.4633,0.3576,0,0
224,Male,38,Hispanic,Christian,Europe,Bachelor,7.3,89.5,94.3,74.9,0.6242,0.5395,1,1
225,Male,44,Black,Buddhist,Asia,High School,4.5,88.1,72.2,66.5,0.4427,0.2772,0,0
226,Male,24,Other,Christian,North America,Master,6.6,69.1,72.8,77.5,0.5965,0.4978,0,1
227,Non-Binary,28,White,Christian,Africa,Bachelor,3.4,70.7,66.1,52.4,0.4395,0.3572,0,0
228,Male,53,Hispanic,Hindu,Asia,Bachelor,4.9,53.8,72.1,60.6,0.4376,0.2362,0,0
229,Female,43,Hispanic,Christian,Africa,Bachelor,2.3,82.9,70.6,67.9,0.4913,0.2463,0,0
230,Female,37,White,Unaffiliated,North America,High School,5.4,74.7,67.9,62.0,0.4004,0.3308,0,0
231,Female,46,Hispanic,Christian,Africa,Master,8.3,70.4,70.1,76.7,0.6064,0.2983,1,0
232,Female,52,White,Christian,South America,Master,1.5,70.2,80.7,79.9,0.5786,0.4044,0,0
233,Female,48,White,Christian,Asia,Bachelor,8.5,52.4,42.9,66.9,0.3949,0.2671,0,0
234,Female,43,White,Unaffiliated,Europe,PhD,2.7,70.6,81.6,65.8,0.6583,0.5791,1,1
235,Male,44,Asian,Christian,Asia,PhD,3.6,96.5,74.9,82.3,0.7324,0.5723,1,1
236,Female,29,White,Unaffiliated,Asia,Master,3.5,53.7,63.9,82.0,0.5129,0.3741,0,0
237,Male,34,Black,Christian,Europe,Master,10.3,79.1,77.2,65.5,0.6506,0.5078,1,1
238,Male,39,Black,Muslim,Asia,High School,7.8,67.9,62.9,79.3,0.413,0.2234,0,0
239,Female,36,White,Unaffiliated,North America,Bachelor,6.1,60.0,52.7,73.4,0.427,0.3584,0,0
240,Male,38,White,Christian,Europe,High School,2.7,100.0,41.1,85.7,0.396,0.4089,0,0
241,Female,31,Hispanic,Christian,North America,Master,5.2,67.6,83.5,79.5,0.6119,0.4221,1,0
242,Female,21,Other,Unaffiliated,Europe,Master,3.2,67.0,74.4,82.7,0.5722,0.3748,0,0
243,Female,39,White,Muslim,Africa,High School,7.4,68.8,66.7,51.1,0.3867,0.2475,0,0
244,Male,34,White,Hindu,Africa,High School,6.6,68.3,63.4,88.5,0.4162,0.3292,0,0
245,Male,34,White,Unaffiliated,North America,Master,10.0,59.1,71.1,85.5,0.6073,0.586,1,1
246,Female,55,White,Muslim,Asia,Bachelor,5.4,62.1,90.1,63.3,0.5144,0.2822,0,0
247,Male,36,White,Unaffiliated,North America,Master,3.2,90.2,97.2,81.0,0.6886,0.6944,1,1
248,Non-Binary,24,White,Hindu,North America,Bachelor,8.6,92.4,53.0,60.4,0.5132,0.3967,0,0
249,Non-Binary,39,White,Hindu,Asia,Bachelor,3.1,47.8,35.0,85.3,0.3377,0.2346,0,0
250,Female,33,White,Christian,North America,Bachelor,2.0,85.4,85.0,72.0,0.5387,0.4838,0,1
251,Male,44,Hispanic,Unaffiliated,Asia,Bachelor,7.7,59.9,81.6,73.2,0.5186,0.3606,0,0
252,Male,27,Other,Buddhist,Europe,Bachelor,1.7,74.3,59.7,64.9,0.4317,0.3273,0,0
253,Female,24,White,Christian,Africa,Master,4.7,79.9,57.8,46.7,0.5273,0.3903,0,0
254,Male,27,Black,Muslim,Oceania,Bachelor,2.5,76.9,41.9,74.9,0.4095,0.2518,0,0
255,Male,21,White,Christian,South America,Master,6.5,74.6,71.7,68.3,0.5947,0.5213,0,1
256,Female,28,Asian,Hindu,Asia,Bachelor,0.8,72.7,73.4,75.2,0.4696,0.2777,0,0
257,Female,48,Black,Unaffiliated,Asia,Bachelor,4.1,61.3,59.8,78.0,0.4375,0.2257,0,0
258,Female,25,Hispanic,Christian,Asia,Bachelor,4.4,81.4,46.3,74.2,0.4483,0.2332,0,0
259,Female,21,White,Unaffiliated,North America,Bachelor,4.3,59.0,82.3,54.9,0.4655,0.361,0,0
260,Male,27,Black,Christian,Asia,Master,4.1,41.7,74.7,47.1,0.4743,0.3121,0,0
